,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,TransportMeans,WklyStudyHours,NrSiblings,MathScore,ReadingScore,WritingScore,Average
39,male,group C,associate's degree,free/reduced,none,married,never,yes,school_bus,5 - 10,0.0,53.0,60.0,52.0,55.0
40,female,group C,associate's degree,standard,none,divorced,regularly,no,school_bus,5 - 10,1.0,59.0,74.0,69.0,67.33333333333333
41,male,group B,some college,free/reduced,none,married,regularly,yes,school_bus,5 - 10,3.0,60.0,65.0,67.0,64.0
42,female,group E,associate's degree,free/reduced,none,married,sometimes,yes,school_bus,< 5,5.0,48.0,55.0,52.0,51.666666666666664
43,male,group B,associate's degree,standard,none,single,sometimes,yes,school_bus,< 5,3.0,63.0,53.0,55.0,57.0
44,female,group C,high school,standard,none,married,regularly,yes,private,5 - 10,3.5,67.0,72.0,77.0,72.0
45,male,group C,high school,standard,completed,married,sometimes,yes,school_bus,5 - 10,3.0,82.0,84.0,82.0,82.66666666666667
46,male,group E,some college,standard,none,married,sometimes,no,school_bus,> 10,3.0,54.0,55.0,48.0,52.333333333333336
47,male,group C,associate's degree,free/reduced,completed,married,regularly,no,private,< 5,2.0,76.0,68.0,68.0,70.66666666666667
48,male,group C,some college,standard,none,divorced,regularly,yes,school_bus,> 10,3.0,56.0,45.0,43.0,48.0
49,male,group D,high school,standard,none,single,sometimes,yes,school_bus,5 - 10,2.0,88.0,78.0,75.0,80.33333333333333
50,female,group C,some high school,free/reduced,completed,married,regularly,yes,private,> 10,1.5,75.0,86.0,90.0,83.66666666666667
51,female,group C,high school,free/reduced,none,divorced,sometimes,yes,private,5 - 10,2.0,33.0,41.0,43.0,39.0
52,female,group E,associate's degree,standard,completed,married,sometimes,yes,school_bus,> 10,3.0,84.0,86.0,87.0,85.66666666666667
53,male,group D,associate's degree,standard,none,single,sometimes,no,private,5 - 10,2.0,52.0,55.0,49.0,52.0
54,male,group D,some college,standard,completed,married,regularly,no,private,> 10,1.0,61.0,60.0,60.0,60.333333333333336
55,female,group C,some high school,free/reduced,none,single,regularly,yes,school_bus,> 10,3.0,23.0,27.5,26.5,27.833333333333332
56,male,group A,some high school,free/reduced,none,married,sometimes,yes,school_bus,5 - 10,0.5,39.0,39.0,34.0,37.333333333333336
57,male,group A,associate's degree,free/reduced,none,married,sometimes,yes,private,5 - 10,5.0,62.0,61.0,55.0,59.333333333333336
58,female,group D,some high school,standard,none,married,sometimes,yes,school_bus,5 - 10,0.0,59.0,58.0,59.0,58.666666666666664
59,male,group B,some high school,standard,none,married,never,yes,private,< 5,1.0,63.0,62.0,58.0,61.0
60,male,group D,some high school,free/reduced,none,married,sometimes,yes,school_bus,5 - 10,4.0,45.0,37.0,37.0,39.666666666666664
61,female,group C,some college,standard,none,married,regularly,no,school_bus,5 - 10,3.0,61.0,73.0,75.0,69.66666666666667
62,male,group B,associate's degree,free/reduced,none,divorced,regularly,no,school_bus,5 - 10,3.0,62.0,58.0,57.0,59.0
63,female,group C,associate's degree,standard,none,single,sometimes,yes,school_bus,5 - 10,3.0,39.0,64.0,57.0,53.333333333333336
64,male,group D,some college,standard,completed,divorced,sometimes,yes,private,> 10,3.0,64.0,55.0,64.0,61.0
65,female,group A,associate's degree,free/reduced,none,single,regularly,yes,private,5 - 10,1.0,42.0,51.0,49.0,47.333333333333336
66,male,group C,some high school,free/reduced,none,divorced,never,yes,school_bus,5 - 10,3.0,59.0,56.0,54.0,56.333333333333336
67,male,group C,some high school,standard,none,married,sometimes,yes,private,< 5,2.0,47.0,48.0,40.0,45.0
68,male,group B,associate's degree,free/reduced,none,divorced,sometimes,no,school_bus,5 - 10,2.0,44.0,41.0,38.0,41.0
69,male,group E,some high school,standard,none,married,sometimes,no,school_bus,5 - 10,5.0,28.0,27.5,26.5,27.833333333333332
70,male,group A,some college,standard,completed,married,regularly,yes,school_bus,5 - 10,3.0,82.0,79.0,83.0,81.33333333333333
71,female,group D,some high school,standard,completed,divorced,sometimes,yes,school_bus,> 10,2.0,62.0,75.0,73.0,70.0
72,female,group E,master's degree,standard,none,divorced,never,yes,school_bus,5 - 10,1.0,60.0,68.0,68.0,65.33333333333333
73,female,group B,associate's degree,standard,none,married,regularly,yes,private,> 10,0.0,49.0,50.0,52.0,50.333333333333336
74,male,group B,high school,free/reduced,none,married,sometimes,yes,private,5 - 10,0.0,49.0,45.0,45.0,46.333333333333336
75,male,group A,some college,free/reduced,completed,married,sometimes,no,school_bus,5 - 10,1.0,50.0,47.0,54.0,50.333333333333336
76,male,group E,associate's degree,standard,none,married,regularly,yes,private,5 - 10,0.0,74.0,64.0,64.0,67.33333333333333
77,male,group D,high school,free/reduced,none,married,never,yes,private,5 - 10,3.0,40.0,38.0,33.0,37.0
78,female,group C,some college,standard,none,divorced,sometimes,yes,private,5 - 10,0.0,73.0,80.0,82.0,78.33333333333333
79,female,group C,some college,free/reduced,none,married,sometimes,yes,school_bus,< 5,1.0,73.0,81.0,86.0,80.0
80,female,group D,associate's degree,standard,none,single,sometimes,yes,private,5 - 10,0.0,71.0,71.0,74.0,72.0
81,female,group A,some college,standard,none,divorced,regularly,yes,school_bus,< 5,3.0,57.0,69.0,67.0,64.33333333333333
82,female,group D,some high school,standard,none,single,sometimes,yes,private,> 10,1.5,75.0,87.0,83.0,81.66666666666667
83,male,group C,high school,free/reduced,none,divorced,regularly,no,school_bus,5 - 10,4.0,27.0,34.0,36.0,32.333333333333336
84,male,group C,high school,standard,none,divorced,sometimes,no,school_bus,< 5,1.0,68.0,77.0,69.0,71.33333333333333
85,male,group C,associate's degree,free/reduced,completed,married,regularly,no,private,> 10,3.0,45.0,46.0,52.0,47.666666666666664
86,female,group B,some college,standard,none,married,regularly,yes,private,5 - 10,4.0,81.0,87.0,94.0,87.33333333333333
87,male,group B,some high school,standard,completed,married,regularly,yes,school_bus,5 - 10,5.0,63.0,65.0,61.0,63.0
88,female,group C,some college,standard,completed,married,never,yes,school_bus,< 5,0.0,59.0,69.0,66.0,64.66666666666667
89,female,group D,some college,free/reduced,none,single,regularly,yes,school_bus,> 10,2.0,61.0,69.0,64.0,64.66666666666667
90,female,group D,bachelor's degree,standard,none,married,regularly,yes,school_bus,< 5,3.0,64.0,66.0,62.0,64.0
91,male,group B,some college,standard,none,married,sometimes,no,school_bus,5 - 10,6.0,79.0,67.0,67.0,71.0
92,male,group D,bachelor's degree,standard,completed,single,sometimes,no,private,5 - 10,1.0,68.0,74.0,74.0,72.0
93,female,group D,associate's degree,standard,none,married,regularly,yes,school_bus,5 - 10,3.0,87.0,92.0,91.0,90.0
94,male,group B,high school,standard,completed,married,regularly,no,school_bus,5 - 10,3.0,61.0,44.0,48.0,51.0
95,male,group C,some college,standard,completed,married,regularly,yes,school_bus,> 10,1.0,100.0,88.0,94.0,94.0
96,female,group C,some college,standard,none,married,sometimes,yes,school_bus,5 - 10,0.0,58.0,67.0,72.0,65.66666666666667
97,female,group D,master's degree,standard,none,married,sometimes,no,private,5 - 10,3.0,87.0,100.0,100.0,95.66666666666667
98,male,group E,some college,standard,completed,single,sometimes,yes,school_bus,5 - 10,0.0,66.0,63.0,64.0,64.33333333333333
99,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,school_bus,5 - 10,2.0,52.0,76.0,70.0,66.0
100,female,group B,some high school,standard,none,single,regularly,no,school_bus,5 - 10,3.0,72.0,64.0,73.0,69.66666666666667
101,female,group D,associate's degree,free/reduced,completed,single,sometimes,yes,school_bus,> 10,4.0,79.0,90.0,99.0,89.33333333333333
102,male,group C,high school,standard,none,single,regularly,no,school_bus,5 - 10,6.0,63.0,55.0,50.0,56.0
103,male,group A,associate's degree,standard,none,married,sometimes,yes,school_bus,5 - 10,0.0,54.0,53.0,47.0,51.333333333333336
104,female,group D,some college,standard,none,married,never,yes,school_bus,< 5,1.0,47.0,56.0,51.0,51.333333333333336
105,female,group E,bachelor's degree,standard,completed,married,regularly,yes,school_bus,< 5,3.0,98.0,99.0,100.0,99.0
106,male,group C,high school,standard,none,married,sometimes,yes,private,5 - 10,4.0,84.0,77.0,74.0,78.33333333333333
107,female,group B,bachelor's degree,free/reduced,none,single,never,no,school_bus,5 - 10,1.0,72.0,83.0,79.0,78.0
108,female,group D,bachelor's degree,standard,none,married,never,no,private,5 - 10,2.0,75.0,80.0,77.0,77.33333333333333
109,female,group D,some high school,standard,none,single,regularly,yes,private,> 10,0.0,54.0,64.0,63.0,60.333333333333336
110,female,group C,some college,standard,none,divorced,sometimes,no,school_bus,5 - 10,3.0,55.0,69.0,65.0,63.0
111,female,group C,bachelor's degree,standard,completed,married,never,yes,school_bus,5 - 10,1.0,76.0,90.0,86.0,84.0
112,male,group B,associate's degree,standard,completed,married,sometimes,yes,school_bus,< 5,3.0,88.0,87.0,90.0,88.33333333333333
113,female,group C,some college,standard,completed,single,regularly,yes,school_bus,5 - 10,1.0,90.0,94.0,95.0,93.0
114,male,group D,high school,free/reduced,none,married,sometimes,no,private,5 - 10,3.0,63.0,57.0,56.0,58.666666666666664
115,male,group E,some college,standard,none,single,regularly,no,school_bus,< 5,3.0,82.0,79.0,73.0,78.0
116,female,group B,high school,standard,none,single,never,yes,school_bus,> 10,2.0,86.0,94.0,85.0,88.33333333333333
117,male,group B,some college,standard,none,married,sometimes,no,private,5 - 10,3.0,72.0,68.0,67.0,69.0
118,male,group D,some college,standard,none,married,regularly,no,school_bus,< 5,3.0,64.0,76.0,74.0,71.33333333333333
119,male,group D,master's degree,standard,none,single,never,yes,private,< 5,2.0,77.0,81.0,72.0,76.66666666666667
120,female,group A,bachelor's degree,standard,none,married,regularly,yes,school_bus,5 - 10,0.0,52.0,49.0,52.0,51.0
121,male,group D,master's degree,standard,none,single,sometimes,no,school_bus,< 5,1.0,87.0,84.0,82.0,84.33333333333333
122,male,group C,some high school,free/reduced,completed,single,regularly,yes,private,< 5,1.0,52.0,36.0,40.0,42.666666666666664
123,male,group C,some college,free/reduced,completed,married,regularly,yes,school_bus,5 - 10,2.0,89.0,75.0,71.0,78.33333333333333
124,female,group C,some college,standard,completed,married,never,no,school_bus,< 5,6.0,70.0,78.0,80.0,76.0
125,male,group D,bachelor's degree,free/reduced,completed,married,sometimes,yes,private,> 10,1.0,76.0,80.0,76.0,77.33333333333333
126,male,group C,bachelor's degree,standard,none,married,sometimes,yes,school_bus,< 5,1.0,56.0,54.0,47.0,52.333333333333336
127,male,group B,some high school,standard,completed,divorced,sometimes,yes,private,5 - 10,1.0,51.0,54.0,41.0,48.666666666666664
128,male,group E,high school,standard,none,divorced,sometimes,yes,school_bus,< 5,0.0,67.0,54.0,54.0,58.333333333333336
129,female,group C,associate's degree,standard,none,married,sometimes,yes,private,5 - 10,1.0,59.0,66.0,67.0,64.0
130,male,group D,some college,standard,completed,married,sometimes,yes,private,> 10,0.0,73.0,61.0,70.0,68.0
131,female,group D,some high school,standard,none,married,sometimes,no,school_bus,5 - 10,1.0,76.0,72.0,71.0,73.0
132,female,group C,some college,free/reduced,none,married,regularly,no,private,5 - 10,2.0,60.0,62.0,65.0,62.333333333333336
133,female,group E,some college,free/reduced,completed,single,regularly,yes,private,< 5,1.0,41.0,54.0,54.0,49.666666666666664
134,male,group A,high school,standard,none,single,sometimes,no,school_bus,5 - 10,1.0,57.0,43.0,47.0,49.0
135,male,group D,some college,standard,none,divorced,sometimes,yes,private,> 10,3.0,90.0,74.0,79.0,81.0
136,female,group C,some college,free/reduced,none,single,regularly,yes,school_bus,< 5,1.0,23.0,38.0,33.0,30.666666666666668
137,female,group D,bachelor's degree,standard,completed,married,sometimes,yes,private,< 5,1.0,65.0,73.0,79.0,72.33333333333333
138,male,group E,associate's degree,free/reduced,completed,married,regularly,no,private,5 - 10,3.0,100.0,100.0,95.0,98.33333333333333
139,male,group A,some high school,standard,completed,married,sometimes,no,private,5 - 10,2.0,62.0,67.0,69.0,66.0
140,female,group B,associate's degree,standard,completed,single,sometimes,yes,school_bus,< 5,2.0,57.0,68.0,64.0,63.0
141,male,group D,bachelor's degree,standard,none,married,sometimes,no,school_bus,5 - 10,1.0,54.0,49.0,47.0,50.0
142,male,group D,some high school,standard,none,single,never,no,school_bus,< 5,2.0,58.0,65.0,58.0,60.333333333333336
143,female,group C,some college,standard,completed,married,regularly,yes,school_bus,< 5,3.0,69.0,88.0,88.0,81.66666666666667
144,female,group E,high school,free/reduced,completed,married,regularly,yes,school_bus,5 - 10,1.0,67.0,75.0,79.0,73.66666666666667
145,male,group B,some college,free/reduced,none,married,sometimes,yes,school_bus,< 5,2.0,58.0,59.0,58.0,58.333333333333336
146,female,group B,associate's degree,standard,none,divorced,regularly,yes,private,5 - 10,2.0,62.0,87.0,89.0,79.33333333333333
147,male,group D,associate's degree,free/reduced,none,married,regularly,no,school_bus,> 10,3.0,70.0,63.0,66.0,66.33333333333333
148,male,group B,associate's degree,free/reduced,completed,single,sometimes,yes,private,5 - 10,2.0,82.0,78.0,74.0,78.0
149,female,group E,some college,free/reduced,completed,married,sometimes,yes,school_bus,5 - 10,3.0,75.0,88.0,85.0,82.66666666666667
150,male,group B,master's degree,free/reduced,none,single,never,no,school_bus,5 - 10,2.0,48.0,53.0,52.0,51.0
151,male,group C,high school,standard,none,divorced,sometimes,yes,school_bus,5 - 10,1.0,52.0,53.0,49.0,51.333333333333336
152,female,group E,master's degree,standard,none,married,never,yes,private,< 5,3.0,76.0,89.0,86.0,83.66666666666667
153,female,group C,bachelor's degree,standard,completed,married,sometimes,yes,school_bus,5 - 10,0.0,96.0,100.0,100.0,98.66666666666667
154,male,group C,high school,free/reduced,completed,single,sometimes,yes,private,5 - 10,5.0,53.0,51.0,51.0,51.666666666666664
155,female,group B,master's degree,free/reduced,completed,married,regularly,no,private,> 10,1.0,62.0,79.0,83.0,74.66666666666667
156,female,group B,high school,standard,completed,married,regularly,yes,private,5 - 10,2.0,70.0,84.0,79.0,77.66666666666667
157,male,group A,high school,standard,completed,divorced,regularly,yes,school_bus,> 10,5.0,76.0,75.0,77.0,76.0
158,male,group E,some high school,standard,none,married,sometimes,no,school_bus,< 5,3.0,91.0,86.0,76.0,84.33333333333333
159,female,group D,some college,standard,none,single,never,yes,school_bus,5 - 10,3.0,76.0,84.0,78.0,79.33333333333333
160,female,group C,associate's degree,standard,none,married,sometimes,yes,school_bus,5 - 10,2.0,63.0,67.0,70.0,66.66666666666667
161,female,group C,bachelor's degree,free/reduced,completed,married,sometimes,no,school_bus,< 5,1.0,41.0,50.0,52.0,47.666666666666664
162,female,group C,master's degree,standard,completed,divorced,sometimes,yes,school_bus,5 - 10,1.0,81.0,92.0,89.0,87.33333333333333
163,female,group B,high school,free/reduced,completed,married,sometimes,no,school_bus,< 5,2.0,44.0,53.0,56.0,51.0
164,female,group C,associate's degree,standard,completed,married,regularly,yes,school_bus,< 5,1.5,70.0,76.0,77.0,74.33333333333333
165,female,group B,master's degree,free/reduced,completed,divorced,regularly,yes,school_bus,5 - 10,2.0,54.0,72.0,65.0,63.666666666666664
166,female,group D,some high school,standard,completed,divorced,regularly,yes,school_bus,5 - 10,0.0,99.0,100.0,100.0,99.66666666666667
167,male,group C,master's degree,free/reduced,completed,single,sometimes,yes,private,< 5,2.0,60.0,68.0,75.0,67.66666666666667
168,female,group C,some college,free/reduced,none,single,sometimes,yes,private,5 - 10,1.0,46.0,64.0,66.0,58.666666666666664
169,female,group E,high school,standard,none,married,sometimes,yes,private,5 - 10,3.0,50.0,50.0,47.0,49.0
170,female,group D,associate's degree,standard,none,single,sometimes,no,private,< 5,2.0,63.0,67.0,68.0,66.0
171,male,group C,associate's degree,free/reduced,completed,married,never,yes,private,< 5,5.0,61.0,65.0,62.0,62.666666666666664
172,male,group E,high school,standard,none,married,never,yes,school_bus,< 5,1.0,75.0,73.0,62.0,70.0
173,male,group D,some high school,standard,completed,married,sometimes,no,private,5 - 10,4.0,62.0,66.0,68.0,65.33333333333333
174,male,group B,some high school,free/reduced,none,married,regularly,no,school_bus,< 5,3.0,47.0,51.0,45.0,47.666666666666664
175,female,group C,bachelor's degree,standard,none,single,sometimes,yes,school_bus,< 5,1.0,74.0,86.0,85.0,81.66666666666667
176,female,group E,associate's degree,standard,none,married,sometimes,yes,school_bus,5 - 10,2.0,66.0,65.0,69.0,66.66666666666667
177,male,group D,some college,standard,completed,married,sometimes,no,school_bus,< 5,2.0,73.0,81.0,77.0,77.0
178,female,group B,some high school,standard,none,single,sometimes,no,private,5 - 10,3.0,62.0,64.0,66.0,64.0
179,male,group D,some college,standard,completed,married,regularly,yes,school_bus,5 - 10,4.0,79.0,62.0,63.0,68.0
180,female,group C,master's degree,standard,completed,married,regularly,yes,school_bus,< 5,1.0,69.0,85.0,87.0,80.33333333333333
181,male,group D,associate's degree,standard,none,married,regularly,no,school_bus,< 5,4.0,60.0,54.0,52.0,55.333333333333336
182,male,group C,some college,free/reduced,completed,married,never,yes,school_bus,5 - 10,1.0,57.0,67.0,63.0,62.333333333333336
183,male,group E,high school,free/reduced,none,married,sometimes,no,private,> 10,6.0,56.0,56.0,52.0,54.666666666666664
184,female,group B,some college,free/reduced,none,widowed,regularly,yes,school_bus,> 10,3.0,47.0,54.0,57.0,52.666666666666664
185,female,group B,bachelor's degree,free/reduced,none,married,regularly,yes,private,5 - 10,3.0,80.0,80.0,77.0,79.0
186,female,group C,associate's degree,standard,completed,single,regularly,no,private,< 5,1.0,66.0,83.0,86.0,78.33333333333333
187,female,group D,some college,free/reduced,none,divorced,sometimes,yes,school_bus,< 5,3.0,63.0,79.0,75.0,72.33333333333333
188,male,group C,associate's degree,standard,none,married,sometimes,yes,school_bus,5 - 10,2.0,69.0,77.0,69.0,71.66666666666667
189,female,group C,associate's degree,standard,none,married,regularly,yes,school_bus,5 - 10,2.0,58.0,70.0,69.0,65.66666666666667
190,male,group C,some college,standard,none,single,regularly,yes,school_bus,< 5,1.0,58.0,40.0,42.0,46.666666666666664
191,male,group D,some high school,standard,completed,married,sometimes,yes,school_bus,< 5,1.5,71.0,69.0,76.0,72.0
192,male,group E,bachelor's degree,standard,none,married,regularly,yes,school_bus,5 - 10,4.0,84.0,62.0,63.0,69.66666666666667
193,male,group E,high school,standard,completed,married,regularly,no,school_bus,5 - 10,2.0,83.0,81.0,77.0,80.33333333333333
194,female,group B,some college,free/reduced,none,married,regularly,yes,private,< 5,1.0,73.0,80.0,76.0,76.33333333333333
195,female,group B,some college,free/reduced,none,single,sometimes,no,school_bus,5 - 10,2.0,58.0,61.0,66.0,61.666666666666664
196,male,group D,some high school,free/reduced,completed,widowed,sometimes,yes,school_bus,< 5,3.0,77.0,77.0,77.0,77.0
197,male,group C,some college,free/reduced,none,married,sometimes,yes,school_bus,5 - 10,3.0,35.0,28.0,27.0,30.0
198,female,group C,high school,free/reduced,none,divorced,sometimes,yes,school_bus,5 - 10,2.0,42.0,62.0,60.0,54.666666666666664
199,male,group C,associate's degree,free/reduced,completed,single,regularly,no,school_bus,5 - 10,1.0,61.0,51.0,57.0,56.333333333333336
200,male,group E,high school,standard,none,married,sometimes,yes,private,5 - 10,1.0,87.0,91.0,81.0,86.33333333333333
201,male,group B,some high school,standard,completed,married,regularly,no,private,5 - 10,2.0,86.0,84.0,76.0,82.0
202,female,group E,associate's degree,free/reduced,completed,married,sometimes,yes,school_bus,< 5,3.0,80.0,84.0,86.0,83.33333333333333
203,female,group C,high school,free/reduced,none,married,regularly,no,school_bus,< 5,3.0,33.0,41.0,39.0,37.666666666666664
204,male,group B,high school,free/reduced,none,married,sometimes,no,school_bus,< 5,2.0,64.0,75.0,68.0,69.0
205,male,group B,some high school,standard,completed,single,never,no,school_bus,5 - 10,1.0,59.0,55.0,54.0,56.0
206,female,group D,high school,standard,completed,widowed,regularly,yes,school_bus,5 - 10,4.0,57.0,69.0,75.0,67.0
207,male,group B,associate's degree,standard,none,married,sometimes,yes,school_bus,> 10,0.0,89.0,86.0,74.0,83.0
208,female,group C,some high school,free/reduced,none,divorced,sometimes,no,school_bus,5 - 10,3.0,55.0,65.0,62.0,60.666666666666664
209,male,group D,some high school,standard,none,married,regularly,no,school_bus,5 - 10,3.0,88.0,81.0,76.0,81.66666666666667
210,female,group B,associate's degree,standard,completed,divorced,regularly,yes,school_bus,> 10,3.0,55.0,67.0,76.0,66.0
211,female,group E,master's degree,free/reduced,none,married,sometimes,no,private,< 5,2.5,43.0,55.0,52.0,50.0
212,female,group C,some college,standard,none,married,sometimes,yes,school_bus,5 - 10,5.0,72.0,72.0,71.0,71.66666666666667
213,male,group D,high school,standard,none,single,regularly,yes,school_bus,5 - 10,0.0,58.0,50.0,55.0,54.333333333333336
214,male,group A,some college,free/reduced,none,divorced,sometimes,no,school_bus,5 - 10,4.0,68.0,72.0,64.0,68.0
215,female,group C,some college,standard,completed,married,regularly,yes,school_bus,> 10,3.0,93.0,97.0,98.0,96.0
216,male,group D,some college,standard,none,married,regularly,yes,school_bus,5 - 10,0.0,78.0,64.0,67.0,69.66666666666667
217,male,group C,associate's degree,standard,none,married,regularly,yes,private,5 - 10,1.0,47.0,43.0,43.0,44.333333333333336
218,female,group B,bachelor's degree,standard,none,married,sometimes,yes,school_bus,5 - 10,2.0,67.0,86.0,83.0,78.66666666666667
219,male,group E,some high school,standard,none,divorced,sometimes,yes,school_bus,> 10,3.0,94.0,88.0,79.0,87.0
220,male,group C,bachelor's degree,standard,completed,married,sometimes,no,school_bus,> 10,3.0,85.0,83.0,85.0,84.33333333333333
221,male,group D,associate's degree,standard,none,married,regularly,no,school_bus,> 10,1.0,84.0,77.0,80.0,80.33333333333333
222,male,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,school_bus,< 5,2.0,62.0,65.0,67.0,64.66666666666667
223,female,group D,some high school,standard,none,married,sometimes,yes,school_bus,< 5,4.0,62.0,59.0,72.0,64.33333333333333
224,male,group B,some college,standard,none,married,regularly,yes,private,> 10,2.0,57.0,53.0,53.0,54.333333333333336
225,male,group C,associate's degree,standard,none,married,sometimes,yes,private,5 - 10,1.0,84.0,80.0,80.0,81.33333333333333
226,male,group D,high school,free/reduced,completed,divorced,sometimes,yes,private,> 10,1.0,75.0,69.0,67.0,70.33333333333333
227,female,group E,bachelor's degree,standard,none,single,regularly,no,private,5 - 10,4.0,82.0,84.0,85.0,83.66666666666667
228,male,group E,some college,standard,none,single,regularly,no,school_bus,< 5,2.0,58.0,50.0,43.0,50.333333333333336
229,male,group D,some high school,standard,none,divorced,regularly,yes,school_bus,< 5,1.0,74.0,73.0,69.0,72.0
230,male,group C,associate's degree,standard,none,married,sometimes,no,private,< 5,3.0,82.0,74.0,69.0,75.0
231,male,group E,associate's degree,standard,none,married,regularly,no,school_bus,5 - 10,2.0,91.0,77.0,75.0,81.0
232,female,group B,high school,standard,completed,single,sometimes,yes,private,5 - 10,1.0,58.0,70.0,68.0,65.33333333333333
233,female,group B,high school,standard,none,married,sometimes,yes,private,< 5,2.0,63.0,63.0,60.0,62.0
234,male,group C,high school,standard,none,married,sometimes,no,school_bus,> 10,2.0,70.0,60.0,54.0,61.333333333333336
